COUNTRY,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,SCORE
TUR,PISAMATH,BOY,MEANSCORE,A,2012,451.934
AUS,PISAMATH,GIRL,MEANSCORE,A,2012,497.821
USA,PISAMATH,BOY,MEANSCORE,A,2012,483.647
KOR,PISAMATH,GIRL,MEANSCORE,A,2012,544.193
LUX,PISAMATH,GIRL,MEANSCORE,A,2012,477.117
MEX,PISAMATH,GIRL,MEANSCORE,A,2012,406.427
KOR,PISAMATH,BOY,MEANSCORE,A,2012,562.114
MEX,PISAMATH,BOY,MEANSCORE,A,2012,420.411
USA,PISAMATH,GIRL,MEANSCORE,A,2012,478.995
AUS,PISAMATH,BOY,MEANSCORE,A,2012,510.115
TUR,PISAMATH,GIRL,MEANSCORE,A,2012,443.948
LUX,PISAMATH,BOY,MEANSCORE,A,2012,502.193
AUS,PISAMATH,BOY,MEANSCORE,A,2015,497.0
USA,PISAMATH,BOY,MEANSCORE,A,2015,474.0
USA,PISAMATH,GIRL,MEANSCORE,A,2015,465.0
TUR,PISAMATH,GIRL,MEANSCORE,A,2015,418.0
TUR,PISAMATH,BOY,MEANSCORE,A,2015,423.0
AUS,PISAMATH,GIRL,MEANSCORE,A,2015,491.0
KOR,PISAMATH,BOY,MEANSCORE,A,2015,521.0
KOR,PISAMATH,GIRL,MEANSCORE,A,2015,528.0
LUX,PISAMATH,BOY,MEANSCORE,A,2015,491.0
LUX,PISAMATH,GIRL,MEANSCORE,A,2015,480.0
MEX,PISAMATH,BOY,MEANSCORE,A,2015,412.0
MEX,PISAMATH,GIRL,MEANSCORE,A,2015,404.0
KOR,PISAMATH,BOY,MEANSCORE,A,2018,528.0
AUS,PISAMATH,GIRL,MEANSCORE,A,2018,488.0
AUS,PISAMATH,BOY,MEANSCORE,A,2018,494.0
KOR,PISAMATH,GIRL,MEANSCORE,A,2018,524.0
LUX,PISAMATH,BOY,MEANSCORE,A,2018,487.0
LUX,PISAMATH,GIRL,MEANSCORE,A,2018,480.0
USA,PISAMATH,GIRL,MEANSCORE,A,2018,474.0
USA,PISAMATH,BOY,MEANSCORE,A,2018,482.0
TUR,PISAMATH,GIRL,MEANSCORE,A,2018,451.0
TUR,PISAMATH,BOY,MEANSCORE,A,2018,456.0
MEX,PISAMATH,BOY,MEANSCORE,A,2018,415.0
MEX,PISAMATH,GIRL,MEANSCORE,A,2018,403.0
